label	explanation
1	This sentence is grammatically correct. It's in Italian and it means "In which drawer did Leonardo put the papers?" The grammar structure, verb conjugation, and word usage are all appropriate for the intended meaning.
0	The sentence "Quale politico hanno parlato?" appears to be written in Italian, but it contains grammatical errors that make it unacceptable in standard Italian. The word "qualche" (which means "some" or "a few") was probably intended instead of "quale" (which means "which"). Additionally, "hanno parlato" requires a plural subject, so "politici" would be more appropriate than "politico". Therefore, a possible correct version could be "Quali politici hanno parlato?" which translates to "Which politicians have spoken?" in English.
0	The given sentence "Quale politico ha detto la radio che il giudice ha dichiarato che ha parlato?" appears to be in Italian, not English. Therefore, I cannot determine its grammaticality based on English language rules. However, even if we were to evaluate it as an Italian sentence, there would still be issues with clarity and structure. The sentence seems to contain multiple embedded clauses without clear subjects or verbs connecting them, making it difficult to understand the intended meaning.
1	This sentence is grammatically correct. It's in Italian and it means "Lorenzo said he would leave tomorrow." The verb "ha detto" (third person singular of "dire", meaning "said") agrees with its subject "Lorenzo". The subjunctive form "partirà" (third person singular of "partire", meaning "he will leave") is correctly used after the conjunction "che" introducing indirect speech.
1	The sentence "Quando è arrivato Francesco, abbiamo potuto cenare." is grammatically correct in Italian. It means "When Francesco arrived, we were able to dine.", where "Quando" refers to the time when an action occurred, "è arrivato" is the conjugated form of the verb "arrivare" (to arrive) for masculine singular subject in simple past tense, "Francesco" is the name of a person, "abbiamo potuto" is the first-person plural form of the auxiliary verb "potere" (can, be able to) in the compound past tense, and "cenare" is the infinitive form of the verb "cenare" (to dine).
1	This sentence is grammatically correct. It is in Italian and translates to "The storm knocked down the oak tree under which the prodigal son was tending pigs." The sentence follows standard Italian syntax rules with the subject coming first, followed by the verb, and then the object. All words are correctly conjugated and spelled according to Italian grammar.
0	The sentence "Chi tocca i fili muore" is not grammatically correct in English. It appears to be written in Italian, which translates to "Who touches the wires dies." If you intended for me to evaluate it as an Italian sentence, then yes, it would be grammatically correct. However, since I am only able to assess grammaticality in the context of English language sentences, I must consider this sentence ungrammatical.
1	This sentence is grammatically correct. It's in Italian and it means "Alessandro, who came to visit me yesterday, told me to greet you." The sentence follows the Subject-Verb-Object (SVO) word order, with appropriate conjugations for the verbs and correct use of punctuation marks.
1	The sentence "La commissione ritiene dunque il candidato aver fornito sufficienti prove della sua maturità scientifica" appears to be grammatically correct in Italian. It follows standard subject-verb-object word order, with proper agreement between subjects and verbs. Additionally, all words appear to be spelled correctly and used appropriately within their respective contexts. However, I am an AI language model and not a human expert; therefore, my assessment may not capture nuanced grammatical issues or cultural subtleties present in the text.
1	This sentence is grammatically correct. It is in Italian and it means "The fear of war is unjustified." The grammar structure, verb conjugation, word choice, and agreement between words all follow standard Italian language rules.
1	The sentence "Riccardo ha perso le chiavi" is grammatically correct in Italian. It translates to "Riccardo has lost the keys" in English.
1	This sentence appears to be grammatically correct in Italian. The word "Alessandro" is a name, "è" is the third person singular form of the verb "to be," "bramoso" means "eager" or "longing," and "potere" means "can" or "be able to." Together they make up a grammatically correct sentence with the meaning "Alessandro is eager to be able (to do something)."
1	This sentence appears to be grammatically correct. It seems to follow standard Italian syntax rules for forming a simple declarative sentence in the present tense. The subject "Penso" (I think) agrees with the singular first-person pronoun, followed by "che" which introduces the subordinate clause. Within that clause, we have "Francesco" as the subject of the embedded question, along with the verb form "domandi" (you ask), which matches the second person formal pronoun used later in the sentence ("Lorenzo"). Overall, it looks well-structured from both morphological and syntactic perspectives.
1	The sentence "Tommaso ha affermato che Edoardo parla" is grammatically correct in Italian. This sentence can be translated as "Tommaso has stated that Edoardo speaks." In Italian, it follows the Subject-Auxiliary Verb (Tempo) - Subject - Verbo pattern where "Tommaso" is the subject who did an action of stating something about another person ("Edoardo") which makes him the direct object of the subordinate clause introduced by "che". The verb "parlare" agrees with its subject "Edoardo" for number and gender, making this sentence acceptable.
1	This sentence is grammatically correct. It's in Italian and it follows the standard subject-verb-object word order in the first clause ("Avendo io sempre sostenuto..."), with the past perfect tense of "avere" (to have) being used correctly as an auxiliary verb for the gerund form of "sostere" (to sustain). The second clause also uses the correct form of the future tense of "dovere" (to have to) followed by the infinitive form of "votare" (to vote). Additionally, the use of "contro" (against) after "votare" indicates opposition towards the proposal. Overall, the sentence expresses that because I have always maintained a different position, I will have to vote against this proposal, which is grammatically sound.
1	This sentence is grammatically correct. It's in Italian and it translates to "Tommaso ordered Andrea to defend him." The verb "ha ordinato" (ordered) is in the compound past tense, which indicates that an action has been completed. The indirect object pronoun "gli" (to him/to him/it/them), referring to Tommaso, is correctly placed before the main verb of the subordinate clause ("difendere", to defend).
1	The sentence "Il fatto di essere stato scoperto un delitto ci ha sconvolti" is grammatically correct in Italian. This means "The fact that a crime was discovered has upset us." Each word is correctly conjugated according to its role in the sentence, with proper agreement between subject and verb tense.
1	The sentence "Chi pensi che Alessandro incontrerà?" appears to be grammatically correct as it follows the standard structure of an interrogative sentence in Italian language. It can be translated into English as "Who do you think that Alessandro will meet?" Here, "chi" serves as the subject pronoun which means "who", "pensi" is the second person singular form of the verb "pensare" meaning "to think", "che" acts as a subordinating conjunction here indicating purpose or reason, "Alessandro" refers to a male name, and "incontrerà" stands for the third person singular future tense form of the verb "incontrare" meaning "to meet".
1	This sentence appears to be grammatically correct in Italian. The subject "la sedia" (the chair) agrees with the verb "è rotta" (is broken), and the pronoun "ti" (you) correctly reflects the past action of sitting down on the chair. Therefore, there don't seem to be any grammatical errors or awkward constructions that would make it unacceptable as an Italian sentence.
1	The sentence "Questa è la persona con cui Edoardo ha fatto l'affermazione che Tommaso ha parlato" appears to be grammatically correct in Italian. Here's a breakdown of the sentence structure: * "Questa è la persona": This is the person (feminine gender singular subject) * "con cui": with whom (preposition + relative pronoun introducing a clause) * "Edoardo ha fatto l'affermazione": Edoardo made the statement (subject-verb-direct object construction) * "che": that (relative pronoun introducing another clause) * "Tommaso ha parlato": Tommaso spoke (subject-verb construction) The sentence has a complex structure but all elements seem correctly used according to standard Italian grammar rules.
0	This sentence is in Italian, not English. The sentence appears to be grammatically correct in Italian, with "Edoardo" as the subject, "crede" as the verb meaning "believes", "chi" introducing a subordinate clause, "Sofia" as the object of the subordinate clause's verb, and "abbia baciato" being the conjugated past perfect tense form of the verb "bacio" which means "kissed". However, it is important to note that I am an AI language model specialized for English language, so my knowledge about other languages might not be accurate or complete.
0	The sentence appears to be written in Italian, not English. A grammatically correct version of this sentence in English would be "What problem don't you know how we can solve?" or "What problem is it that you don't know how we can solve?"
0	This sentence appears to be written in Italian, not English. The sentence "Abbia visto lui" translates to "I saw him" in English, but it is still grammatically incorrect because subject-verb agreement is violated; the singular form of the verb ("ha") should have been used instead of the plural form ("hanno"). A correct version would be "L'ho visto," which means "I saw him."
0	The sentence "Abbiamo visto lo." is not grammatically correct in Italian. In this context, "lo" is an object pronoun that needs to refer to a specific noun. However, no suitable noun has been provided before or after it. A more complete and accurate version could be something like "Abbiamo visto il gatto (lo)". Here I added "(lo)" but you can also say just "l'ho visto", where the elision of "lo" into "'l'" makes for a smoother phrase.
1	This sentence is grammatically correct. It's in the present tense with "Sofia" as the subject, followed by the conjunction "che", and a subjunctive future tense verb phrase "Alessandro parlerà". The sentence means "Sofia says that Alessandro will speak tomorrow." in English.
0	The sentence contains some grammatical errors in Italian language. Specifically, "se stessa" (herself) is unnecessary here since it's already implied by "ha", also "mi" before "avuto" should be removed as it creates an ungrammatical structure. A corrected version of the sentence would be: "Beatrice ha dichiarato di non aver avuto nulla a che fare con Gabriele."
1	This sentence is grammatically correct. It is in Italian and it can be translated as "Riccardo said that Andrea looked at himself". The verb conjugations match the subject-object agreement and there are no apparent errors in word order or syntax.
1	This sentence is grammatically correct in Italian. The structure of the sentence follows standard Italian grammar rules with a clear subject ("il padre di Andrea" - Andrea's father), verb ("mi è sembrato" - seemed to me), and object ("contento" - happy). Additionally, the use of tenses (passato prossimo) and mood (indicativo) are appropriate for expressing an action that took place in the past.
1	This sentence is grammatically correct. It's in Italian and it follows the Subject-Verb-Object (SVO) word order in subordinate clauses introduced by "che" (that). The meaning of the sentence is: "I think that Edward believes that Mary wants that Gabriel sees Richard."
1	This sentence is grammatically correct in Italian. It's an example of complex nested sentences with multiple subjunctive forms, but all verbs agree properly with their subjects and tenses. Here's what each part means: - "Edoardo" (subject) - "crede" (third person singular present indicative form of credere - believes) - "che" (conjunction introducing a dependent clause) - "Emma" (subject of the next verb) - "voglia" (third person singular present subjunctive form of volere - wants) - "che" (conjunction introducing another dependent clause) - "Tommaso" (subject of the final verb) - "veda" (third person singular present subjunctive form of vedere - sees) - "Gabriele" (object of the last verb). So putting it together, the whole sentence translates as: "Edoardo believes that Emma wants Tommaso to see Gabriele."
1	This sentence is grammatically correct in Italian. It means "The rabbit eats." The verb "mangia" agrees with its singular subject "il coniglio," which is also correctly gendered as masculine (the article "il" matches). There's no grammatical or syntactical error here.
1	The sentence "Che libro dice che il professore ha raccomandato di leggere?" appears to be grammatically correct in standard Italian. This question is asking which book did the teacher recommend to read. However, without more context it's difficult to say for certain that the sentence is being used appropriately or idiomatically. But based on grammar alone, there are no obvious errors.
0	The sentence "Per primo sono arrivato me, non tu." is not grammatically correct in Standard Italian. In this context, "me" (mi) should be used instead of "me stesso" (me stess(e)). Also, it would sound more natural to say "Sono arrivato prima io, non tu." which means "I arrived first, not you."
1	This sentence is grammatically correct. It's in Italian and it means "A man arrives" or "Here comes a man". The form of the verb "arrivare" (to arrive) matches with the subject "un uomo" (a man).
0	This sentence appears to be written in Italian, not English. A grammatically correct sentence in English would be "Leonardo killed Andrea."
1	This sentence is grammatically correct. It's in Italian and it can be translated as "Andrea said that Tommaso looks at him." The verb "ha detto" (third person singular of "dire") agrees with its subject "Andrea", while the pronoun "lo" (direct object) refers back to "Tommaso". So, there's no grammatical mistake here.
1	The sentence "Gabriele ha voglia di andare al mare" is grammatically correct in Italian. Here's what it means: "Gabriele wants to go to the sea." Each word in the sentence follows standard Italian grammar rules, including subject-verb agreement (ha voglia, which translates as "has desire," agrees with the masculine singular noun Gabriele), proper verb conjugation based on tense and mood (voglia is an infinitive form of the verb volere, which changes depending on who is doing the action), and appropriate preposition usage (al indicates movement toward or location near something). Therefore, I would classify this sentence as grammatically correct.
1	This sentence is grammatically correct. It's in Italian and it translates to "This is the book that I had never read" in English. The verb conjugations match their subjects and the tense is consistent throughout the sentence.
1	The sentence appears to be grammatically correct in Italian. "Da quel professore" means "from that teacher," "Tommaso" is the subject of the sentence, "non è stato" is the negated form of "essere" (to be) used as an auxiliary verb for the passive voice, and "interrogato" is the past participle indicating the action taken on "Tommaso." Finally, the question mark indicates it's a question. Therefore, there don't seem to be any grammatical errors in the given sentence.
1	This sentence appears to be grammatically correct. It's in Italian and it translates to "Alessandro believes that we will invade that country." The verb conjugations match the subject, and there don't seem to be any obvious errors in word order or agreement.
0	The sentence appears to be written in Italian, but it contains a grammatical error. The verb "crede" (which means "believes") should agree with its subject "Andrea," which is masculine singular. However, in this sentence, "crede" is followed by the relative pronoun "che," which agrees with the plural noun "paesi." To fix the error, you could change "crede" to "credono," so that it correctly agrees with "paesi": "A proposito di questi paesi, quali credono che invaderanno?" This would mean "Speaking of these countries, which do they believe will invade?"
1	This sentence is grammatically correct in Italian. It means "Last year, Alessandro was writing a book, but he still hasn't finished it today." The verb conjugations match their subjects (l'anno scorso = last year, Alessandro = he), and the tense changes appropriately from past to present.
1	This sentence is grammatically correct in Italian. It means "Last year, Edoardo wrote a book, but so far he hasn't finished it yet." The structure of the sentence with two clauses (one about last year and one about now) is typical for expressing something that started in the past and continues until present time.
0	The sentence "Gabriele è scapolo ed è sposato" is not grammatically correct because it contains conflicting information about the marital status of Gabriele. "Scapolo" means bachelor or unmarried in Italian, while "sposato" means married. It's impossible for someone to be both at the same time.
1	This sentence is grammatically correct. It is in Italian and it means "The current king of France is bald." The word order is correct, and all words agree with each other in terms of number, gender, and tense.
1	The sentence "Qualche studente ha superato l'esame." is grammatically correct in Italian. It means "Some student has passed the exam" which follows proper grammar rules of subject-verb agreement, word order, and tense usage for the given context.
0	This sentence is not grammatically correct in Italian. The second part of the conditional statement "allora ogni studente non ha superato l'esame" does not correctly convey the intended meaning. A more accurate way to express this idea would be "Se alcuni studenti non hanno superato l'esame, nessun altro studente lo ha fatto," which means "If some students did not pass the exam, no other student passed it either."
1	This sentence is grammatically correct. It is in Italian and it translates to "Yesterday I promised Lorenzo to leave." The verb tense used (passato prossimo) indicates that the action of promising happened in the past. All words are correctly conjugated and there are no spelling errors or missing punctuation marks.
1	The given sentence "Nel processo di primo grado, la corte dichiarò l'imputato innocente." is in Italian and it seems grammatically correct for that language. Here's a breakdown of the parts: - Nel processo di primo grado (in the first degree trial) - la corte (the court) - dichiarò (declared) - l'imputato (the defendant) - innocente (innocent) So, the sentence can be translated as "In the first degree trial, the court declared the defendant innocent," which appears to follow proper grammar rules both in English and Italian.
1	This sentence appears to be in Italian, not English, but that does not make it grammatically incorrect. The sentence "Continua così e combinerai guai" can be translated to "Keep it up and you will get into trouble." In Italian, the sentence is grammatically correct with no spelling or syntax errors.
1	The sentence "Ho preso le chiavi" is grammatically correct in Italian. It translates to "I took the keys" in English. Therefore, there's no error in grammar or syntax in this sentence.
1	The sentence appears to be grammatically correct. It's in Italian and it seems to be a complex sentence with two colons. The first part, "Andrea, trasmettendoci le commissioni della marchesa:" can be translated as "Andrea, forwarding us the marchioness's commissions:". The second part, " Ha detto: ""Darete loro il buongiorno""" can be translated as "'She said': ''You will greet them good morning''." Each part is grammatically correct according to Italian language rules.
1	The sentence "Una bella casa fa comodo" is grammatically correct in Italian. It translates to "A beautiful house is comfortable" or "A beautiful house is convenient" in English, which also makes sense. The word order is correct, and there are no spelling errors or missing punctuation marks. Therefore, I would classify it as acceptable.
0	The sentence "Prendiamo questo" appears to be written in Italian, not English. A grammatically correct sentence in English would be something like "We take this." If you intended to ask about the grammaticality of this Italian sentence, I can analyze it for you, but based on the prompt's requirement for an English grammar check, I have marked this as incorrect.
0	The sentence appears to be written in Italian rather than English. "Uso il gladio" translates to "I use the sword" in English. Therefore, it is not grammatically correct as an English sentence.
1	This sentence is grammatically correct. It's in Italian and it means "The calculator works well." The verb "funziona" agrees with its subject "il calcolatore", and both the article "il" and the adverb "bene" also agree with their respective noun and adjective they refer to.
0	The sentence "Scusa!" is not grammatically complete in English. It appears to be an attempt at saying "excuse me" in Italian, but without additional context or words it does not form a proper sentence in any language. A grammatically correct sentence requires both a subject and predicate (verb) at minimum; this can also include objects, adverbs, etc., depending on the complexity of the thought being expressed.
1	This sentence is grammatically correct in Italian. The translation of "Le ragazze sono arrivate" in English is "The girls have arrived." It consists of three words - "le," which is a definite article used before feminine singular nouns starting with s or z sound; "ragazze," which means girls; and "sono arrivate," which is the third-person plural form of the verb "essere" (to be) conjugated in the present perfect tense, indicating that an action has been completed at some point in the past.
1	This sentence is grammatically correct in Italian. The structure of the sentence is "Subject + Verb + Object", where "Il libro" (the book) is the subject, "mi ha prestato" (has lent me) is the verb phrase, and "Lorenzo" is the object. Additionally, there's an additional clause "non mi piace" which means "I don't like it". So overall, the sentence translates to "The book that Lorenzo lent me, I don't like."
1	This sentence appears to be grammatically correct. It's in Italian and it seems to follow the standard Subject-Conjugated Verb-Object structure correctly. "Dicono" (they say) is the subject, "che hai raccontato" (that you told) is the conjugated verb phrase, and "che non ci vediamo mai" (that we never see each other) is the object. The verb tenses also seem consistent with the intended meaning of recounting something that happened regularly in the past ("vediamo", the root of "non ci vediamo," changes form based on tense). Therefore, I would classify this as a grammatically correct sentence.
0	The sentence "Legge velocemente" appears to be in Italian and it translates to "reads quickly" in English. However, without additional context or information about what you would like me to evaluate, I am assuming that you want an evaluation of grammaticality based on standard English language rules. In English, this sentence is not grammatically complete as there is no subject-verb agreement - we do not know who is doing the action of reading. Therefore, my answer assumes that you're looking for feedback based solely on English language conventions.
1	This sentence is grammatically correct. It's in Italian and it means "On my way home, I met your brother." The verb "andare" (to go) is used correctly in the gerund form "Andando", which indicates an ongoing action in progress in the past. All other elements of the sentence, including word order and agreement between words, follow standard Italian grammar rules.
1	This sentence is grammatically correct. It's in Italian, not English, but it follows the rules of Italian grammar. The subject "sto" (I am) agrees with the verb "andando" (going), and the direct object "la macchina" (the car) is correctly marked with the definite article "la".
1	The given sentence "Non è vero che l'aspetto dei luoghi cambia come il volto degli uomini." is in Italian language, not English. However, I will still evaluate its grammaticality according to Italian language rules as follows: The sentence consists of two clauses - "Non è vero" (it's not true) and "che l'aspetto dei luoghi cambia come il volto degli uomini" (that the appearance of places changes like human faces). Both clauses are syntactically well-formed, with appropriate verb conjugations and agreement between subject and predicate within each clause. Additionally, there is no apparent violation of word order or any other syntax rule. Therefore, we can conclude that the sentence is grammatically correct in the Italian language.
0	This sentence is in a language other than English (Italian, to be exact), so it cannot be evaluated for grammaticality in English. If we were to evaluate it as an Italian sentence, it would actually be considered grammatically correct, as "Va' a casa!" means "Go home" in English. However, since the prompt specifies that the sentence should be classified based on its grammaticality in English, I must classify it as incorrect.
1	The sentence "Io sono affamato" is grammatically correct. It's in Italian, not English, but it follows proper Italian grammar rules. In this case, "Io" means "I", "sono" is the conjugated form of "to be" (in present tense), and "affamato" means "hungry". So, the whole phrase translates to "I am hungry" in English.
0	The sentence "Bravo, questo ragazzo" is in two different languages, which makes it grammatically incorrect as sentences need to be written in one language for proper communication. In English, it would translate to something like "Bravo, this boy", but mixing Italian ("bravo") and another language in the same sentence does not make sense without context or explicit instruction that the text contains multiple languages.
1	This sentence is grammatically correct in Italian. It means "Paola is a woman we appreciate very much." The subject of the sentence is "Paola," which is followed by "è" (is), indicating that she is the one being appreciated. Then there's "una donna" (a woman) describing who Paola is, and finally "che apprezziamo molto" (that we appreciate a lot), telling us how much they value her.
1	The sentence "Cosa fai domani?" is grammatically correct. It is in Italian and translates to "What are you doing tomorrow?" in English. In Italian, it's perfectly acceptable to end a question with a preposition like "domani" (tomorrow).
1	This sentence is grammatically correct. It's in Italian and it translates to "I saw the book that you gave me." The verb conjugation matches with the subject ("ho visto" - I saw), and the direct object ("il libro" - the book) follows the correct order after the indirect object ("mi" - me).
0	In English, the sentence "The friends whose teacher is Andrea" would be grammatical, but in Italian, where the original sentence comes from, it's not quite right. The correct version of that sentence in Italian would use an article before "cui": "Gli amici i cui maestri è Andrea." This makes the subject plural (friends) instead of singular (friend), and changes the verb form accordingly. Alternatively, you could also say "L'amico il cui maestro è Andrea," which means "The friend whose teacher is Andrea," with no change needed for the verb because the subject is now singular again.
1	The sentence "Credo che tu abbia ragione" is grammatically correct because it follows the structure of a subjunctive expression in Italian language. This expression contains two clauses: one main clause ("credo", meaning "I believe") and one dependent clause ("che tu abbia ragione", meaning "that you are right"). Both verbs (credere and avere) are conjugated correctly according to their tense and subject.
1	This sentence is grammatically correct in Italian. "Siccome" means "since" or "because", "è caduto" is the third-person singular indicative present tense of the verb "cadere," meaning "to fall," while "si è fatto male" is the reflexive third-person singular compound past tense of the verbs "fare" (meaning "to make" or "to do") and "essere" (meaning "to be"), with "male" being an adverb that can mean "badly." Therefore, the whole sentence could roughly translate to "Because he fell, he hurt himself."
1	This sentence is grammatically correct in Italian. It can be translated as "They wanted to destroy it and they destroyed it." The first part of the sentence uses the imperfect tense (volevano) which indicates that an action was ongoing or repetitive in the past, while the second part uses the simple past tense (l'hanno distrutta) indicating a completed action in the past. Both parts express related actions with logical sequence.
1	This sentence is grammatically correct in Italian. It means "Everyone takes their own coat" in English. The word order follows standard Italian syntax rules with the subject (ognuno) at the beginning of the sentence followed by the verb (prenda), and the indirect object (il loro cappotto) at the end. Additionally, each word appears to be spelled correctly, making it grammatically acceptable.
