label	correction
1	Sei sempre lo stesso: un amico fidato, paziente e onesto. La frase è già corretta.
1	Il vento forte sul mare può provocare mareggiate.
0	Piangere a lungo. La frase "Piangere forte" non è corretta in italiano perché "forte" non è comunemente utilizzato in questo contesto. "A lungo" è più appropriato per descrivere un pianto intenso.
1	Ho preso in casa una specie di gatto.
1	Ho preso dello zucchero.
1	Non mi piace il vino.
1	Quel che vendo è merce cinese. La frase è già corretta.
0	Mettere fretta non è una frase corretta. La frase corretta potrebbe essere "Mettere fretta a qualcuno" o "Mettere fretta a una situazione".
1	È stato bandito un concorso.
1	Tutte le balene devono essere protette.
1	La frase è già corretta.
0	Questa macchina è vecchia ma funziona ancora come nuova.
1	Leonardo non conosce Maria.
1	Il governo ha abolito la legge.
1	Ho spazzolato le scarpe.
1	Tommaso abita da dieci anni.
1	Riccardo ha dato un libro a Sofia.
1	Maria ha corso per ore.
1	Francesco ha bevuto un caffè.
1	Andrea ha trovato un biglietto per l'opera.
1	Edoardo sta compilando.
1	Emanare profumo. La frase è già corretta.
1	Aprire un nuovo negozio. La frase è già corretta.
1	Iniziare un'attività. La frase è già corretta.
1	La porta si è chiusa.
1	Gabriele non ammette di essere preso in giro. La frase è già corretta.
1	Paola ha restituito il libro.
1	La frase è già corretta.
1	Le scarpe si sono macchiate.
1	Le giornate si sono accorciate.
1	Qualcosa ha accorciato le giornate. La frase è già corretta.
1	Qualcuno ha accorciato le giornate. La frase è già corretta.
1	Aggrapparsi a un ramo. La frase è già corretta.
1	Arenatesi le navi, gli equipaggi sono scesi a terra. La frase è già corretta.
1	La nebbia è svanita.
0	Alessandro si piange sempre. La frase presenta un errore grammaticale. Il soggetto "Alessandro" dovrebbe essere seguito da un verbo coniugato. Una correzione grammaticalmente corretta potrebbe essere: "Alessandro si piange sempre" (ma non è chiaro il significato di questa frase).
1	Riccardo si lagna sempre.
1	Alle sue parole, Maria ha annuito. La frase è già corretta.
1	L'acqua è sgorgata all'improvviso.
1	Andrea ha sbadigliato? La frase è già corretta.
1	Riccardo pedala. La frase è già corretta.
0	Ha approfittato dell'esperienza.
8	Il figlio di Francesco si siede in prima fila alle 8 in punto.
1	Quando iniziò il concerto, il figlio di Leonardo sedeva in prima fila.
0	Il muro ammuffisce in una giornata.  La frase corretta è già stata fornita, quindi non è necessario modificarla. Tuttavia, è importante sottolineare che il soggetto e il verbo devono concordare in numero e persona. In questo caso, il soggetto "muro" è singolare, e il verbo "ammuffisce" concorda correttamente con il soggetto.
1	Paola sta suonando un pezzo di Bach.
1	Il coro canta molto bene.
1	Riccardo aspirava sempre il fumo del sigaro.
1	Andrea aspira a diventare medico.
1	Lorenzo non ha cucinato.
0	La lettera viene scritta.
0	Disturbo? - La frase corretta sarebbe "Scusa, mi stai disturbando?" o "Mi scusi, è un disturbo?" a seconda del contesto.
1	Leonardo sta compilando.
1	Riccardo non scrive più da un pezzo.
1	Il macchinista si è fermato. La frase è già corretta.
0	I negozianti hanno aumentato i prezzi.
1	I bicchieri si sono rotti.
1	Paola ha acceso il fuoco. La frase è già corretta.
1	Il soggiorno in Canada ha migliorato il suo inglese.
1	La lezione ha continuato.
1	Saltare un ostacolo. La frase è già corretta.
1	Tutti si sono commossi. La frase è già corretta.
1	Si è macchiata la tovaglia.
1	Macchia il vino. La frase è già corretta.
0	L'acqua si è ghiacciata in due ore.
0	Le tappe hanno bruciato per un'ora.  Correzione: "Le tappe" dovrebbe essere sostituito con il soggetto appropriato, poiché "tappe" non è un soggetto corretto in questo contesto. Una possibile frase corretta potrebbe essere: "Il forno ha raggiunto la temperatura desiderata in un'ora."
1	Il vetro si rompe.
1	Ha verificato l'autenticità della firma. La frase è già corretta.
1	Riccardo lava la macchina.
1	Paola ha visto la partita con gli amici.
1	Gabriele si è tagliato le basette.
1	Riccardo si è tagliato il mento con il rasoio.
0	Francesco si è calmato, è rimasto irrigidito.
1	Si è rotto il vetro.
0	Venite alla festa e mangiate e bevete.
1	Il dibattito è continuato. La frase è già corretta.
1	Il dibattito ha continuato. La frase è già corretta.
1	Riccardo ha cancellato la scritta. La frase è già corretta.
0	Leonardo utilizza il telefono.
1	Il livello si è alzato. La frase è già corretta.
1	Francesco ha bruciato la torta.
1	Edoardo è pentito.
1	Il bosco si è bruciato per tre ore.
1	La biancheria si è asciugata per un'ora. La frase è già corretta.
1	Il libro è sparito per tre giorni, poi è improvvisamente ricomparso sul mio tavolo.
1	Riccardo si è ingrassato. La frase è già corretta.
1	Tommaso è ingrassato molto dall'ultima volta che l'ho vista.
0	La televisione si è rotta in un'ora.
8	Alle 8 in punto la sala si è svuotata. La frase è già corretta.
1	Il treno si è un po' fermato. La frase è già corretta.
1	La camicia è sporca. La frase è già corretta.
1	Ho notato un libro caduto. La frase è già corretta.
1	Alessandro conosce le strade.
0	Andrea approfitta di Maria. La frase è già corretta, ma non è chiaro il contesto. Potrebbe essere utile fornire più dettagli o specificare meglio il significato.
1	Chi Leonardo ama? La frase è già corretta.
1	Francesco è il capo.
1	Trenta chili sono pesati da Alessandro. La frase è già corretta.
1	Mio nonno ha venduto il suo podere. La frase è già corretta.
1	Due lingue sono parlate da tutti i miei studenti. La frase è già corretta.
0	Otto ore al giorno vengono studiate da Tommaso.
1	Alessandro trivella questa cosa.
1	Tommaso torna da Roma. La frase è già corretta.
1	Francesco macina il caffè in un vecchio macinino. La frase è già corretta.
1	Tommaso rubò il portafoglio a Maria in un autobus. La frase è già corretta.
1	Dove Riccardo mise la cassa nel mobile? La frase è già corretta.
1	Lo scoglio affiora. La frase è già corretta.
1	Andrea si comporta.
1	Leonardo sottrae la penna.
1	Lorenzo toglie dalla cassaforte il giornale. La frase è già corretta.
1	Alessandro legge un libro a letto.
1	Riccardo beve il tè in una tazzina di porcellana.
1	Dove Andrea ha preso una sigaretta? La frase è già corretta.
1	Tommaso estrasse la pistola nel bar. La frase è già corretta.
1	Riccardo ci mangia il riso. La frase è già corretta.
0	Tommaso vi sostiene durante la lastra.
1	Edoardo prese il libro di storia dalla libreria. La frase è già corretta.
1	Leonardo prende il libro dalla sala della biblioteca.
1	Gabriele mette le casse sul ripiano del montacarichi.
1	Dove hai messo le foto di Francesco? La frase è già corretta.
1	Tommaso toglie i soldi dal cassetto.
1	La chiave sta nella toppa.
1	Dal giardino alla strada Lorenzo vi ha piantato i fiori.
1	Francesco ha lanciato il pallone dal balcone al giardino.
0	Dal giardino, Leonardo ha piantato fiori nel garage.
1	Edoardo carica le casse sulla nave.
1	La scala poggia contro il muro.
1	I rivoltosi incarcerarono Gabriele nelle segrete della fortezza. La frase è già corretta.
1	Francesco chiuse Giulia nella stanza.
1	Gabriele chiuse il denaro.
1	Gabriele dette appoggio al libro. La frase è già corretta.
1	Alessandro dette appoggio alla diffusione del libro. La frase è già corretta.
1	Lorenzo caricò il camion.
1	Questo latte deterge le impurità dal volto. La frase è già corretta.
1	Riccardo stipò l'armadio con i vestiti.
1	La fotografia di Giulia e quella di Lorenzo stanno attaccate.
0	Riccardo allontanò Paola dalla finestra.
1	Francesco avvolge la statua in una tela di lino. La frase è già corretta.
1	Alessandro accompagna Sofia al cinema. La frase è già corretta.
1	Andrea accompagnò Paola a scuola.
1	I libri non stanno nell'armadio.
1	Andrea attraversò la parte meno pericolosa del fiume.
0	Ho intenzione di vestirmi da sposa.
1	Francesco mangiava il pane con soddisfazione. La frase è già corretta.
1	Quella mattina pioveva a dirotto.
0	Alessandro beve il vino.
1	Francesco ha telefonato e Maria è venuta. La frase è già corretta.
1	Quel libro è stato dato a Paola da Gabriele. La frase è già corretta.
1	Paola riceve quel libro da Riccardo. La frase è già corretta.
1	Andrea mangia un polpo.
1	Tommaso mangia questo. La frase è già corretta.
1	Sofia lo adora.
0	L'artrosi ha indebolito le ossa.
0	Maria vuole mangiare.
1	Lorenzo ammira Alice.
1	Riccardo la ammira.
1	Edoardo mira alla presidenza.
1	È sul letto che Maria salta.
0	Edoardo vuole subito il caffè.
0	Tommaso tiene al successo.
1	È alla presidenza che mira Leonardo.
1	Riccardo adora il cinema.
1	È il cinema che Francesco adora.
1	È il cinema e non la musica che Alessandro adora.
1	I denti di Emma battono dal freddo. La frase è già corretta.
0	Alessandro le preferisce perché hanno gambe lunghe, le donne.
0	Andrea ne adora le amiche. Nota: La frase originale sembra avere un errore di riferimento, presumibilmente si riferisce ad "Emma" ma non è chiaro. La frase corretta è stata modificata rimuovendo il riferimento errato.
1	Gabriele mangia un gelato.
0	Riccardo promette a sé stesso che verrà.
0	Sofia divorerà il polpo.
0	La tolleranza non rientra nei suoi doveri.
1	Riccardo ci viene da Roma.
1	Andrea pensa a Paola.
1	Sofia accompagna Maria in Cina. La frase è già corretta.
1	Emma e il film si sono visti.
1	Alessandro ammira la casa che è di Paola. La frase è già corretta.
0	Beatrice involontariamente assorbe Francesco. Nota: La frase originale non è grammaticalmente corretta, poiché il verbo "assorbire" non può essere usato in questo contesto. La frase corretta è stata fornita sopra.
0	Lorenzo distribuisce mattoni.
0	È bello che Riccardo dipinga.
1	Sofia passeggia per Venezia.
1	Maria raccoglie sassolini. La frase è già corretta.
1	Giulia legge. La frase è già corretta.
1	Beatrice schermisce con abilità.
1	Maria traveste Alice.
1	Emma umilia Edoardo. La frase è già corretta.
1	Il fulmine cadde sulla testa di Andrea. La frase è già corretta.
1	Fa neve.
1	Alessandro dormicchia nell'inazione più totale. La frase è già corretta.
1	La maionese non ha preso bene. La frase è già corretta.
1	Maria sorride a Giulia.
1	Quel vestito non va ad Alice. La frase è già corretta.
1	Il capitale dell'azienda ammonta a molti miliardi. La frase è già corretta.
1	Una stella splende nel cielo.
1	Una stella brilla nel cielo. La frase è già corretta.
1	Una stella scintilla nel cielo.
1	Il vestito di Maria scintilla di uno stupendo diamante. La frase è già corretta.
1	Beatrice arde dalla passione.
1	Paola luccicava dall'emozione.
1	Quell'idea si fa chiara nel suo animo. La frase è già corretta.
0	Gabriele ritorna. La frase originale contiene un errore grammaticale. L'aggiunta della preposizione "vi" non è corretta in questo contesto. La forma corretta è "Gabriele ritorna".
1	Riccardo giunge in casa.
1	La scala scende in cantina.
1	Il sentiero ci arriva.
1	La Maggioranza patteggia con l'Opposizione. La frase è già corretta.
1	Emma lotta su questo punto. La frase è già corretta.
1	Riccardo taglia il pane a fetta.
1	Riccardo gli vide il volto. La frase è già corretta.
1	Il sarto ha confezionato un vestito di lino.
1	Tommaso ha edificato una palazzina nel centro di Roma.
1	Andrea è brutale con Alice.
1	Il Giappone colonizzò la Manciuria.
1	Leonardo aveva ammassato pacchetti alla base della libreria.
0	Leonardo aveva ammassato qualcosa contro il muro.
1	Lorenzo ci aveva ammassato pacchetti.
1	L'avaro accumula ricchezze. La frase è già corretta.
1	Leonardo è importante per noi.
1	Il Sergente distribuisce i soldati. La frase è già corretta.
1	Sofia separò il lavoro in due parti distinte. La frase è già corretta.
1	Paola gli carezzò il volto. La frase è già corretta.
1	Questa situazione gli complica la vita.
1	Maria afferrò la mano di Lorenzo.
1	Questa medicina coagula il sangue.
1	Riccardo forgia l'acciaio.
1	Sofia cucina il pollo al limone.
1	Le donne partoriscono i bambini. La frase è già corretta.
1	Paola converte lo zucchero in caramelle. La frase è già corretta.
1	Il governo converte gli oppositori in criminali.
0	Alice travestì Francesco.
1	Riccardo ne liberò il cane. La frase è già corretta.
1	Lo Stato accorda troppa fiducia all'amministrazione pubblica. La frase è già corretta.
1	Tommaso attribuì la decisione di andare in Cina a Leonardo. La frase è già corretta.
1	Leonardo addebitava il suo insuccesso alla decisione del padre di andare in Francia.
1	Francesco abbandona la moglie sulla strada.
1	I ladri rubano le auto ai legittimi proprietari. La frase è già corretta.
1	Maria spalmò il pane con il coltello. La frase è già corretta.
0	Riccardo mise il tavolo sotto al cappello.
1	L'aviazione nemica bombardò napalm sulla città.
1	Andrea imbeve il pane di vino.
1	Raso rosso foderava i cuscini.
1	Lorenzo dissemina aneddoti divertenti nei suoi racconti. La frase è già corretta.
1	I turisti disseminano il prato di cartacce.
1	Gabriele nutrì il figlio dell'idea di essere il più bravo ed intelligente di tutti. La frase è già corretta.
1	Riccardo liberò il cane dalle catene. La frase è già corretta.
1	Alessandro scarica Giulia dalle proprie responsabilità.
1	Tommaso ne ottiene la libertà. La frase è già corretta.
1	Gabriele difende Giulia contro i pericoli. La frase è già corretta.
1	L'alchimista fa che l'oro derivi dal piombo.
1	Riccardo spostò il cappello dall'armadio al tavolo. La frase è già corretta.
1	Leonardo pone il libro sulla scrivania.
1	Alessandro prese il cappotto dall'armadio.
1	Gabriele spedì la ricevuta all'ufficio delle imposte.
1	Paola spinse le gambe di Francesco verso la parete. La frase è già corretta.
1	La foresteria ospita gli intervenuti alla manifestazione.
1	Il dottore spennella le tonsille di Gabriele di iodio.
1	Leonardo archiviò la documentazione nell'archivio centrale. La frase è già corretta.
1	I gomiti poggiano sul davanzale.
1	Riccardo affoga i dispiaceri nel vino.
1	Un buon timoniere attracca rapidamente la sua nave al molo. La frase è già corretta.
1	Andrea spostò il bicchiere dal tavolo sul mobile.
1	Tommaso pompava l'acqua dal lago alla piscina. La frase è già corretta.
1	Alessandro e Leonardo negoziano la libertà di Maria. La frase è già corretta.
1	Una donna aveva separato Andrea e Tommaso. La frase è già corretta.
1	Alessandro ricava danaro dalle sue applicazioni.
1	Riccardo allontana Maria dalla stanza. La frase è già corretta.
1	Leonardo conta su Francesco.
1	Sofia confonde il piacere con la possibilità di essere corteggiata.
1	Tommaso fondeva l'argento con l'oro.
1	Gabriele ci sostituisce il tubo catodico. La frase è già corretta.
1	Riccardo le sostituisce il tubo catodico. La frase è già corretta.
1	Tommaso alterna Beatrice con Paola. La frase è già corretta.
1	L'amore lega.
1	Gabriele dorme.
1	Maria desidera un libro.
1	Maria desidera il fatto che tu venga.
1	Leonardo tiene alla possibilità che lo promuovano.
1	Giulia abbandona l'idea che vedrà Edoardo. La frase è già corretta.
1	Maria ha fatto l'affermazione che Francesco è bello. La frase è già corretta.
1	Maria bada che tutto funzioni alla perfezione.
1	Edoardo approva che Maria parta.
0	Emma dubita che Alice parta.
0	La frase "Che Lorenzo viaggi angoscia Tommaso" non è grammaticalmente corretta. Una possibile correzione potrebbe essere: "L'idea che Lorenzo viaggi angoscia molto Tommaso."
0	Riccardo approva l'idea. La frase originale non è corretta grammaticalmente. Ho rimosso "lo" e ho reso la frase più fluida e corretta in italiano.
0	Edoardo approva il fatto che Maria canti.
0	Desideri che Sofia venga.
0	Riccardo va a fumare.
1	Alice brama di tornare.
0	Andrea incoraggia Maria a sposarsi.
1	Il fatto che Emma parli allieta suo padre. La frase è già corretta.
1	Andare al cinema infiamma Sofia.
0	La colpisce che Riccardo rida. Nota: la frase data non presenta errori grammaticali, ma potrebbe essere stata intesa come una domanda a causa dell'uso di "che" e dell'inversione soggetto-verbo. Per rendere la frase più chiara come domanda, potresti scrivere: "La colpisce che Riccardo rida?". In questo caso, la risposta sarebbe ancora 0 e la frase corretta sarebbe la stessa.
1	Mi meraviglia il fatto che Beatrice sia svestita.
0	Leonardo allieta Maria perché Maria ride.
1	La tristezza e la noia deprimono Gabriele.
1	La frase è già corretta.
0	La sola presenza di Alice mi calma.
1	Parlare con le ballerine è divertente.
0	Mi affascina il fatto che Edoardo parli di poesia.
0	A Paola accadde di vedere i marziani.
0	Splendeva nel suo sguardo aver vinto al lotto.
0	Splendeva nel suo sguardo di aver vinto al lotto. La frase originale presenta un errore di collocazione dei termini. Ho corretto la frase mantenendo il significato originale. La frase corretta è: "Splendeva nel suo sguardo di aver vinto al lotto."
0	Dobbiamo fuggire.
1	Si tratta di fuggire. La frase è già corretta.
1	Il fatto che Emma sia uscita così presto denota che in questo momento non va d'accordo con te. La frase è già corretta.
1	Io condanno il fatto che Erode uccise i bambini. Nota: Ho lasciato la frase invariata perché è già grammaticalmente corretta. La frase usa il verbo "condannare" in forma passiva per descrivere il fatto che Erode ha ucciso i bambini. Il periodo è costituito da una proposizione principale ("Io condanno il fatto che") e da una proposizione relativa ("Erode uccise i bambini"), collegate dalla congiunzione "che".
1	Gabriele adora carezzare Andrea
1	Andrea intende sposare Alice
1	Riccardo evita di guardare la televisione.
0	Paola ritiene che sia carino partire.
1	Lorenzo riteneva Alice fosse Paola La frase è già corretta.
0	Beatrice lo giudica, pensando che Maria abbia troppi amanti.
0	Sofia lo giudica perché Maria ha troppi amanti.
0	Giulia lo giudica evidente che Maria sia bella. La frase originale presenta un'incongruenza tra il verbo "giudica" e il pronome relativo "che". Per rendere la frase grammaticalmente corretta, è necessario sostituire il pronome relativo "che" con "come". La frase corretta sarebbe: "Giulia lo giudica evidente che Maria sia bella."
0	Leonardo suppone che il padre beva troppo.
0	Penso qualcosa su di te.
0	Io penso che tu ami il tartufo.
1	Emma ottiene qualcosa da te. La frase è già corretta.
0	Alice cerca di catturare Maria.
1	Riccardo plaude al fatto che Tommaso ha vinto.
1	Maria ci aspira. La frase è già corretta.
1	Maria ci si aggrappa. La frase è già corretta.
0	Paola mira a che il futuro sia felice. Nota: La frase presenta una lieve incoerenza grammaticale. La correzione proposta utilizza la preposizione "per" per rendere la frase più chiara e corretta: "Paola mira a rendere il futuro felice". Tuttavia, se si vuole mantenere la frase originale, basta aggiungere una virgola dopo "mira" per migliorare la leggibilità: "Paola mira, a che il futuro sia felice."
1	Giulia guardava il muro.
0	Riccardo lo pensa, Tommaso.
0	Paola acconsente a essere legata.
0	Alice sorride per il fatto di aver pianto.
1	La condizione di disagio nasce dalla mancanza d'acqua. La frase è già corretta.
0	Da quest'analisi risulta la nostra partenza.
1	La tosse dipende dal fatto di aver fumato troppo. La frase è già corretta.
1	Leonardo chiarisce che non è colpa sua a Paola. La frase è già corretta.
1	Andrea fischia a Maria che ha fame.
0	Andrea accennerà ad Edoardo se partirà o no.
1	Paola addebita a Leonardo il fatto che ora ha fame. La frase è già corretta.
1	Riccardo lo aggiunge nel suo discorso. Nota: sebbene la frase sia grammaticalmente corretta, potrebbe essere più naturale utilizzare "nei" al posto di "nel" in questo contesto, per rendere il discorso: "Riccardo lo aggiunge nei suoi discorsi."
1	Maria ce lo ha scommesso.
0	I giornalisti attaccano sui quotidiani il fatto che molti politici siano corrotti.
1	Paola incoraggia il fatto che i ragazzi vadano al mare.
1	Emma ne avvisa Alessandro. La frase è già corretta.
1	Gabriele lo convince che lo sciopero è giusto.
1	Riccardo esime Riccardo dal viaggio.
1	Il sindaco esenta i poveri dal pagare il bus.
1	Maria si accorda con Leonardo affinché il programma sia realizzato.
1	Alice discorre di partire con Giulia.
1	Maria si accorge di essere innamorata dal fatto di arrossire. La frase è già corretta.
1	Edoardo continua a mangiarlo.
0	Leonardo lo induce a mangiare.
1	Edoardo osa mangiare.
1	Paola è capace di cavalcare.
1	Maria ha l'intenzione di cavalcare. La frase è già corretta.
1	Tommaso suole il pasto.
1	Riccardo deve mangiarlo. La frase è già corretta.
0	Gabriele usa mangiarlo. La frase corretta dovrebbe essere: "Gabriele usa mangiarlo." La frase è già corretta.
1	Riccardo va in camera.
1	Andrea sale in camera.
1	Riccardo sparisce da Parigi.
1	Edoardo parte a Parigi. La frase è già corretta.
1	Paola sgambetta verso il ponte. La frase è già corretta.
0	La folla lo corre a salutarlo.
0	Tommaso accompagna Emma in piazza.
1	Beatrice assembla un computer.
1	Il film è di Scorsese. La frase è già corretta.
1	Paola lavora.
1	È l'amica che di Emma angoscia quel quadro di Picasso. La frase è già corretta.
0	Molte di loro leggono il giornale.
0	Alcuni musei sono stati progettati da architetti.
1	Paola mangia la pizza.
0	Quell'architetto ha progettato alcuni musei.
1	Hanno letto, molte ragazze, il giornale l'anno scorso. La frase è già corretta.
1	Le spalle di Riccardo toccano la parete.
1	Maria sarà toccata da quel film.
